site,date,species,count,percip,weather,temp,sunrise,notes
Old,18-10-2021,American Crow,3,Dry,lightly cloudy,9,7:38:00,
Old,18-10-2021,Chestnut-backed Chickadee,1,Dry,lightly cloudy,9,7:38:00,
New,18-10-2021,Pacific Wren,14,Dry,lightly cloudy,9,7:38:00,
New,18-10-2021,Spotted Towhee,12,Dry,lightly cloudy,9,7:38:00,
New,18-10-2021,Song Sparrow ,5,Dry,lightly cloudy,9,7:38:00,
New,18-10-2021,House Finch,1,Dry,lightly cloudy,9,7:38:00,
New,18-10-2021,Brown Creeper,2,Dry,lightly cloudy,9,7:38:00,
New,18-10-2021,American Robin,2,Dry,lightly cloudy,9,7:38:00,
New,18-10-2021,Black-capped Chickadee,22,Dry,lightly cloudy,9,7:38:00,
New,18-10-2021,American Crow,6,Dry,lightly cloudy,9,7:38:00,
New,18-10-2021,Fox Sparrow,44,Dry,lightly cloudy,9,7:38:00,
New,18-10-2021,Northern Flicker,1,Dry,lightly cloudy,9,7:38:00,
New,18-10-2021,Varied Thrush,7,Dry,lightly cloudy,9,7:38:00,
New,18-10-2021,European Starling,1,Dry,lightly cloudy,9,7:38:00,
New,18-10-2021,Pileated Woodpecker,1,Dry,lightly cloudy,9,7:38:00,
Old,16-10-2021,Stellar's Jay,2,Wet,mostly cloudy,11,7:36:00,2nd day: rainy; heavy rain the day before and overnight. Saturday - late start.
Old,16-10-2021,Pacific Wren,6,Wet,mostly cloudy,11,7:36:00,
Old,16-10-2021,Golden-crowned Kinglet,6,Wet,mostly cloudy,11,7:36:00,
Old,16-10-2021,Black-capped Chickadee,2,Wet,mostly cloudy,11,7:36:00,
New,16-10-2021,Fox Sparrow,4,Wet,mostly cloudy,11,7:36:00,
New,16-10-2021,American Crow,1,Wet,mostly cloudy,11,7:36:00,
New,16-10-2021,Stellar's Jay,2,Wet,mostly cloudy,11,7:36:00,
New,16-10-2021,Spotted Towhee,3,Wet,mostly cloudy,11,7:36:00,
New,16-10-2021,Song Sparrow ,1,Wet,mostly cloudy,11,7:36:00,
New,16-10-2021,Black-capped Chickadee,2,Wet,mostly cloudy,11,7:36:00,
New,16-10-2021,Ruby-crowned Kinglet ,1,Wet,mostly cloudy,11,7:36:00,
New,16-10-2021,American Robin,10,Wet,mostly cloudy,11,7:36:00,
New,13-10-2021,Spotted Towhee,8,Dry,lightly cloudy,6,7:31:00,1st day: light rain overnight; New site - foggy and sunny at times.
New,13-10-2021,Brown Creeper,1,Dry,lightly cloudy,6,7:31:00,
New,13-10-2021,Fox Sparrow,14,Dry,lightly cloudy,6,7:31:00,
New,13-10-2021,Black-capped Chickadee,8,Dry,lightly cloudy,6,7:31:00,
New,13-10-2021,American Crow,6,Dry,lightly cloudy,6,7:31:00,
New,13-10-2021,Pacific Wren,1,Dry,lightly cloudy,6,7:31:00,
New,13-10-2021,American Robin,1,Dry,lightly cloudy,6,7:31:00,
New,13-10-2021,Downy Woodpecker,1,Dry,lightly cloudy,6,7:31:00,
New,13-10-2021,Song Sparrow ,1,Dry,lightly cloudy,6,7:31:00,
New,13-10-2021,Ruby-crowned Kinglet ,1,Dry,lightly cloudy,6,7:31:00,
New,13-10-2021,Anna's Hummingbird,1,Dry,lightly cloudy,6,7:31:00,
New,13-10-2021,Purple Finch,1,Dry,lightly cloudy,6,7:31:00,
Old,13-10-2021,Brown Creeper,5,Dry,lightly cloudy,6,7:31:00,
Old,13-10-2021,Stellar's Jay,3,Dry,lightly cloudy,6,7:31:00,
Old,13-10-2021,Black-capped Chickadee,1,Dry,lightly cloudy,6,7:31:00,
Old,13-10-2021,Pacific Wren,6,Dry,lightly cloudy,6,7:31:00,
Old,13-10-2021,Pileated Woodpecker,3,Dry,lightly cloudy,6,7:31:00,
Old,13-10-2021,Golden-crowned Kinglet,1,Dry,lightly cloudy,6,7:31:00,
Old,13-10-2021,American Crow,2,Dry,lightly cloudy,6,7:31:00,
Old,13-10-2021,American Robin,1,Dry,lightly cloudy,6,7:31:00,
